trip_id,waktu,latitude,longitude,kecepatan_kmh,jarak_km
1,2025-03-03 07:11:00,-6.122585,106.893704,21.2,0.17644
1,2025-03-03 07:11:30,-6.121057,106.8936,20.4,0.1702
1,2025-03-03 07:12:00,-6.119127,106.893469,25.8,0.21515
1,2025-03-03 07:12:30,-6.117563,106.893363,20.9,0.17428
1,2025-03-03 07:13:00,-6.117611,106.893055,23.2,0.19325
1,2025-03-03 07:13:30,-6.11957,106.893138,26.2,0.21805
1,2025-03-03 07:14:00,-6.121395,106.893215,24.4,0.20307
1,2025-03-03 07:14:30,-6.123358,106.893298,26.2,0.21851
1,2025-03-03 07:15:00,-6.125155,106.893374,24.0,0.2
1,2025-03-03 07:15:30,-6.126918,106.893449,23.5,0.19616
1,2025-03-03 07:16:00,-6.128896,106.893532,26.4,0.22016
1,2025-03-03 07:16:30,-6.130594,106.893235,23.4,0.19536
1,2025-03-03 07:17:00,-6.131078,106.891943,21.4,0.17816
1,2025-03-03 07:17:30,-6.130416,106.890481,21.7,0.18051
1,2025-03-03 07:18:00,-6.12935,106.888824,26.2,0.21822
1,2025-03-03 07:18:30,-6.128507,106.887513,20.7,0.17258
1,2025-03-03 07:19:00,-6.127711,106.886262,19.7,0.16432
1,2025-03-03 07:19:30,-6.127071,106.884629,23.3,0.19406
1,2025-03-03 07:20:00,-6.126373,106.882813,25.8,0.21534
1,2025-03-03 07:20:30,-6.125987,106.88088,26.2,0.21797
1,2025-03-03 07:21:00,-6.125638,106.879136,23.6,0.19666
1,2025-03-03 07:21:30,-6.125304,106.877466,22.6,0.18833
1,2025-03-03 07:22:00,-6.125006,106.875978,20.1,0.1679
1,2025-03-03 07:22:30,-6.124629,106.874089,25.6,0.21301
1,2025-03-03 07:23:00,-6.124261,106.872251,24.9,0.2073
1,2025-03-03 07:23:30,-6.123936,106.870624,22.0,0.18343
1,2025-03-03 07:24:00,-6.123588,106.868885,23.5,0.19609
1,2025-03-03 07:24:30,-6.123206,106.866972,25.9,0.21576
1,2025-03-03 07:25:00,-6.122828,106.865082,25.6,0.21319
1,2025-03-03 07:25:30,-6.122483,106.863353,23.4,0.19489
1,2025-03-03 07:26:00,-6.122148,106.861682,22.6,0.18848
1,2025-03-03 07:26:30,-6.122284,106.860116,21.3,0.17749
1,2025-03-03 07:27:00,-6.122796,106.858394,23.9,0.1994
1,2025-03-03 07:27:30,-6.123597,106.856603,26.1,0.21719
1,2025-03-03 07:28:00,-6.124387,106.854834,25.7,0.21435
1,2025-03-03 07:28:30,-6.125193,106.853033,26.2,0.21839
1,2025-03-03 07:29:00,-6.125716,106.851582,20.5,0.17101
1,2025-03-03 07:29:30,-6.126227,106.849879,23.6,0.19669
1,2025-03-03 07:30:00,-6.126652,106.847954,26.2,0.218
1,2025-03-03 07:30:30,-6.127051,106.846148,24.5,0.20448
1,2025-03-03 07:31:00,-6.127476,106.844221,26.2,0.21831
1,2025-03-03 07:31:30,-6.127901,106.842555,22.8,0.19015
1,2025-03-03 07:32:00,-6.128427,106.840741,25.1,0.2089
1,2025-03-03 07:32:30,-6.128895,106.838842,26.0,0.21666
1,2025-03-03 07:33:00,-6.129209,106.837092,23.6,0.19656
1,2025-03-03 07:33:30,-6.129486,106.835549,20.8,0.17343
1,2025-03-03 07:34:00,-6.129831,106.833628,25.9,0.21575
1,2025-03-03 07:34:30,-6.130104,106.832062,21.1,0.17584
1,2025-03-03 07:35:00,-6.130259,106.83011,26.0,0.2165
1,2025-03-03 07:35:30,-6.130391,106.828451,22.1,0.18404
1,2025-03-03 07:36:00,-6.130644,106.826686,23.7,0.19733
1,2025-03-03 07:36:30,-6.130934,106.825004,22.6,0.1887
1,2025-03-03 07:37:00,-6.131192,106.823504,20.2,0.16831
1,2025-03-03 07:37:30,-6.131476,106.821853,22.2,0.18527
1,2025-03-03 07:38:00,-6.131751,106.82026,21.4,0.17874
